,Protein IDs,Fasta headers,diff,Intensity Pynd_AlkKO_WCL,Intensity Control_WCL
2154,['YMR011W'],"['>YMR011W HXT2 SGDID:S000004613, Chr XIII from 288079-289704, Genome Release 64-2-1, Verified ORF, High-affinity glucose transporter of the major facilitator superfamily', 'expression is induced by low levels of glucose and repressed by high levels of glucos']",-2.6298182295639343,21.326247330458475,23.95606556002241
344,['YBR230C'],"['>YBR230C OM14 SGDID:S000000434, Chr II from 679942-679549,680050-680040, Genome Release 64-2-1, reverse complement, Verified ORF, Mitochondrial outer membrane receptor for cytosolic ribosomes', 'integral protein of the outer membrane that interacts with the']",-2.6223569017998862,20.28149994268429,22.903856844484178
2635,['YOR123C'],"['>YOR123C LEO1 SGDID:S000005649, Chr XV from 554570-553176, Genome Release 64-2-1, reverse complement, Verified ORF, Component of the Paf1 complex', 'which associates with RNA polymerase II and is involved in histone methylation', 'plays a role in regulating T']",-2.6180248690465113,21.62867514380115,24.24670001284766
2701,['YOR253W'],"['>YOR253W NAT5 SGDID:S000005779, Chr XV from 804377-804907, Genome Release 64-2-1, Verified ORF, Subunit of protein N-terminal acetyltransferase NatA', 'NatA is comprised of Nat1p, Ard1p, and Nat5p', 'N-terminally acetylates many proteins, which influences mul']",-2.5769360276541917,22.751134575332653,25.328070602986845
2719,['YOR286W'],"['>YOR286W RDL2 SGDID:S000005812, Chr XV from 850280-850729, Genome Release 64-2-1, Verified ORF, Protein with rhodanese activity', 'contains a rhodanese-like domain similar to Rdl1p, Uba4p, Tum1p, and Ych1p', 'overexpression causes a cell cycle delay', 'null mut']",-2.5544820926644825,22.040260285396588,24.59474237806107
2147,['YML128C'],"['>YML128C MSC1 SGDID:S000004597, Chr XIII from 16676-15135, Genome Release 64-2-1, reverse complement, Verified ORF, Protein of unknown function', 'mutant is defective in directing meiotic recombination events to homologous chromatids', 'the authentic, non-tag']",-2.5534356038556645,21.03153698647906,23.584972590334726
2343,['YNL091W'],"['>YNL091W NST1 SGDID:S000005035, Chr XIV from 452408-456130, Genome Release 64-2-1, Verified ORF, Protein of unknown function', 'mediates sensitivity to salt stress', 'interacts physically with the splicing factor Msl1p and also displays genetic interaction wi']",-2.550628395808463,20.212999766319786,22.76362816212825
1761,['YKL179C'],"['>YKL179C COY1 SGDID:S000001662, Chr XI from 112503-110464, Genome Release 64-2-1, reverse complement, Verified ORF, Golgi membrane protein with similarity to mammalian CASP', 'genetic interactions with GOS1 (encoding a Golgi snare protein) suggest a role in']",-2.5453127800091657,20.40353635698569,22.948849136994856
750,['YDR377W'],"['>YDR377W ATP17 SGDID:S000002785, Chr IV from 1228611-1228916, Genome Release 64-2-1, Verified ORF, Subunit f of the F0 sector of mitochondrial F1F0 ATP synthase', 'F1F0 ATP synthase is a large, evolutionarily conserved enzyme complex required for ATP synthe']",-2.4531177007878355,20.60855804719517,23.061675747983006
556,['YDL213C'],"['>YDL213C NOP6 SGDID:S000002372, Chr IV from 77966-77289, Genome Release 64-2-1, reverse complement, Verified ORF, rRNA-binding protein required for 40S ribosomal subunit biogenesis', 'contains an RNA recognition motif (RRM)', 'hydrophilin essential to overcom']",-2.430682764755719,20.910276740706156,23.340959505461875
1138,['YGR009C'],"['>YGR009C SEC9 SGDID:S000003241, Chr VII from 511002-509047, Genome Release 64-2-1, reverse complement, Verified ORF, t-SNARE protein required for secretory vesicle-plasma membrane fusion', 'similar to but not functionally redundant with Spo20p', 'interacts no']",-2.4037315998505697,19.68807952546433,22.0918111253149
2765,['YPL010W'],"['>YPL010W RET3 SGDID:S000005931, Chr XVI from 535018-535587, Genome Release 64-2-1, Verified ORF, Zeta subunit of the coatomer complex (COPI)', 'COPI coats Golgi-derived transport vesicles', 'involved in retrograde transport between Golgi and ER']",-2.368932302800637,22.768966914394586,25.137899217195223
502,['YDL116W'],"['>YDL116W NUP84 SGDID:S000002274, Chr IV from 251566-253746, Genome Release 64-2-1, Verified ORF, Subunit of the Nup84p subcomplex of the nuclear pore complex (NPC)', 'contributes to nucleocytoplasmic transport and NPC biogenesis', 'also plays roles in several']",-2.3688699010894965,24.699382245931915,27.06825214702141
505,['YDL121C'],"['>YDL121C YDL121C SGDID:S000002279, Chr IV from 245582-245133, Genome Release 64-2-1, reverse complement, Uncharacterized ORF, Putative protein of unknown function', 'green fluorescent protein (GFP)-fusion protein localizes to the endoplasmic reticulum', 'YDL1']",-2.3636447860547634,21.954113933893176,24.31775871994794
2654,['YOR165W'],"['>YOR165W SEY1 SGDID:S000005691, Chr XV from 644566-646896, Genome Release 64-2-1, Verified ORF, Dynamin-like GTPase that mediates homotypic ER fusion', 'has a role in ER morphology', 'interacts physically and genetically with Yop1p and Rtn1p', 'functional ortho']",-2.3327744945623614,18.7469472536301,21.079721748192462
990,['YFL038C'],"['>YFL038C YPT1 SGDID:S000001856, Chr VI from 55986-55366, Genome Release 64-2-1, reverse complement, Verified ORF, Rab family GTPase', 'involved in the ER-to-Golgi step of the secretory pathway', 'complex formation with the Rab escort protein Mrs6p is required']",-2.3310397286312217,23.485297686988694,25.816337415619916
1351,['YHR088W'],"['>YHR088W RPF1 SGDID:S000001130, Chr VIII from 281495-282382, Genome Release 64-2-1, Verified ORF, Protein involved in assembly and export of the large ribosomal subunit', 'nucleolar protein', 'constituent of 66S pre-ribosomal particles', 'contains a sigma(70)-l']",-2.3137430660779508,20.793206386548512,23.106949452626463
2211,['YMR145C'],"['>YMR145C NDE1 SGDID:S000004753, Chr XIII from 556475-554793, Genome Release 64-2-1, reverse complement, Verified ORF, Mitochondrial external NADH dehydrogenase', 'type II NAD(P)H:quinone oxidoreductase that catalyzes the oxidation of cytosolic NADH', 'Nde1p a']",-2.2984817317793933,20.28251835563438,22.581000087413774
2548,['YOL103W-B'],"['>YOL103W-B YOL103W-B SGDID:S000007350, Chr XV from 118000-119304,119306-123268, Genome Release 64-2-1, transposable_element_gene, Retrotransposon TYA Gag and TYB Pol genes', 'transcribed/translated as one unit', 'polyprotein is processed to make a nucleocapsi']",-2.2790698079735883,22.37036707408325,24.64943688205684
2009,['YLR328W'],"['>YLR328W NMA1 SGDID:S000004320, Chr XII from 784913-786118, Genome Release 64-2-1, Verified ORF, Nicotinic acid mononucleotide adenylyltransferase', 'catalyzes the transfer of the adenylyl moiety of ATP to nicotinamide mononucleotide to form NAD', 'involved i']",-2.2521010061406415,20.225880530055292,22.477981536195934
2623,['YOR101W'],"['>YOR101W RAS1 SGDID:S000005627, Chr XV from 515244-516173, Genome Release 64-2-1, Verified ORF, GTPase involved in G-protein signaling in adenylate cyclase activation', 'plays a role in cell proliferation', 'localized to the plasma membrane', 'homolog of mammal']",-2.242860439799202,20.570059511034632,22.812919950833834
2522,['YOL049W'],"['>YOL049W GSH2 SGDID:S000005409, Chr XV from 238619-240094, Genome Release 64-2-1, Verified ORF, Glutathione synthetase', 'catalyzes the ATP-dependent synthesis of glutathione (GSH) from gamma-glutamylcysteine and glycine', 'induced by oxidative stress and hea']",-2.233727362369212,20.481779726889563,22.715507089258775
734,['YDR351W'],"['>YDR351W SBE2 SGDID:S000002759, Chr IV from 1178666-1181260, Genome Release 64-2-1, Verified ORF, Protein required for bud growth', 'involved in transport of cell wall components from the Golgi to the cell surface', 'SBE2 has a paralog, SBE22, that arose from']",-2.2328594824609596,21.931676767394865,24.164536249855825
597,['YDR060W'],"['>YDR060W MAK21 SGDID:S000002467, Chr IV from 570649-573726, Genome Release 64-2-1, Verified ORF, Constituent of 66S pre-ribosomal particles', 'required for large (60S) ribosomal subunit biogenesis', 'acts as part of a Mak21p-Noc2p-Rrp5p module that associates']",-2.1954557909325736,22.145911006220018,24.34136679715259
2798,['YPL081W'],"['>YPL081W RPS9A SGDID:S000006002, Chr XVI from 404950-404956,405458-406044, Genome Release 64-2-1, Verified ORF, Protein component of the small (40S) ribosomal subunit', 'homologous to mammalian ribosomal protein S9 and bacterial S4', 'RPS9A has a paralog, RPS']",-2.1658957543443016,22.02607490800567,24.19197066234997
1735,['YKL126W'],"['>YKL126W YPK1 SGDID:S000001609, Chr XI from 205707-207749, Genome Release 64-2-1, Verified ORF, Serine/threonine protein kinase', 'phosphorylates and downregulates flippase activator Fpk1p', 'inactivates Orm1p and Orm2p (inhibitors of serine:palmitoyl-coenzym']",-2.1600733605499123,20.552624072623914,22.712697433173826
2317,"['YNL052W', 'YIL111W']","['>YNL052W COX5A SGDID:S000004997, Chr XIV from 531725-532186, Genome Release 64-2-1, Verified ORF, Subunit Va of cytochrome c oxidase', 'cytochrome c oxidase is the terminal member of the mitochondrial inner membrane electron transport chain', 'Cox5Ap is predo']",-2.1448451173883747,21.499649330780535,23.64449444816891
733,['YDR348C'],"['>YDR348C PAL1 SGDID:S000002756, Chr IV from 1171825-1170326, Genome Release 64-2-1, reverse complement, Verified ORF, Protein of unknown function thought to be involved in endocytosis', 'physically interacts with Ede1p and is found at endocytic sites at cel']",-2.116581517625299,21.459189446740442,23.57577096436574
940,['YER131W'],"['>YER131W RPS26B SGDID:S000000933, Chr V from 423952-424311, Genome Release 64-2-1, Verified ORF, Protein component of the small (40S) ribosomal subunit', 'homologous to mammalian ribosomal protein S26, no bacterial homolog', 'RPS26B has a paralog, RPS26A, tha']",-2.068588305068044,19.273212809854336,21.34180111492238
2463,['YNL313C'],"['>YNL313C EMW1 SGDID:S000005257, Chr XIV from 48022-45308, Genome Release 64-2-1, reverse complement, Verified ORF, Essential conserved protein with a role in cell wall integrity', 'contains six TPR (tetratricopeptide repeat) domains clustered in the C-termi']",-2.035740721362849,20.048465587612437,22.084206308975286
246,['YBR026C'],"['>YBR026C ETR1 SGDID:S000000230, Chr II from 294019-292877, Genome Release 64-2-1, reverse complement, Verified ORF, 2-enoyl thioester reductase', 'member of the medium chain dehydrogenase/reductase family', 'localized to in mitochondria, where it has a probab']",-2.0210491421911065,22.814328985711764,24.83537812790287
1017,['YFR033C'],"['>YFR033C QCR6 SGDID:S000001929, Chr VI from 224769-224326, Genome Release 64-2-1, reverse complement, Verified ORF, Subunit 6 of the ubiquinol cytochrome-c reductase complex', 'the complex, also known as the cytochrome bc(1) complex or Complex III, is a com']",-2.0032144828905167,23.26599382689444,25.269208309784958
