,Protein IDs,Fasta headers,diff,Intensity Pynd_5FC_Ub,Intensity Control_Ub
2555,['YOL127W'],"['>YOL127W RPL25 SGDID:S000005487, Chr XV from 80348-80360,80775-81190, Genome Release 64-2-1, Verified ORF, Ribosomal 60S subunit protein L25', 'primary rRNA-binding ribosomal protein component of large ribosomal subunit', 'binds to 25S rRNA via a conserved C-']",-6.113434877141568,22.246786980689965,28.360221857831533
2892,['YPR010C'],"['>YPR010C RPA135 SGDID:S000006214, Chr XVI from 581196-577585, Genome Release 64-2-1, reverse complement, Verified ORF, RNA polymerase I second largest subunit A135']",-6.054558865697501,20.24376903196185,26.29832789765935
2253,['YMR226C'],"['>YMR226C YMR226C SGDID:S000004839, Chr XIII from 722396-721593, Genome Release 64-2-1, reverse complement, Verified ORF, NADP(+)-dependent serine dehydrogenase and carbonyl reductase', 'acts on serine, L-allo-threonine, and other 3-hydroxy acids', 'green fluo']",-6.050772705496094,18.435507492837896,24.48628019833399
516,"['YDL191W', 'YDL136W']","['>YDL191W RPL35A SGDID:S000002350, Chr IV from 117664-117666,118158-118517, Genome Release 64-2-1, Verified ORF, Ribosomal 60S subunit protein L35A', 'homologous to mammalian ribosomal protein L35 and bacterial L29', 'RPL35A has a paralog, RPL35B, that arose f']",-5.865887621483143,20.755399435524446,26.62128705700759
1773,['YKL196C'],"['>YKL196C YKT6 SGDID:S000001679, Chr XI from 75534-74932, Genome Release 64-2-1, reverse complement, Verified ORF, Vesicle membrane protein (v-SNARE) with acyltransferase activity', 'involved in trafficking to and within the Golgi, endocytic trafficking to t']",-5.77555640311024,19.066840748800427,24.842397151910667
1065,['YGL076C'],"['>YGL076C RPL7A SGDID:S000003044, Chr VII from 364964-364335,365526-365433,365996-365986, Genome Release 64-2-1, reverse complement, Verified ORF, Ribosomal 60S subunit protein L7A', 'required for processing of 27SA3 pre-rRNA to 27SB pre-rRNA during assembly']",-5.743217222316218,22.81522848250666,28.55844570482288
409,['YCR004C'],"['>YCR004C YCP4 SGDID:S000000597, Chr III from 120318-119575, Genome Release 64-2-1, reverse complement, Verified ORF, Protein of unknown function', 'has sequence and structural similarity to flavodoxins', 'predicted to be palmitoylated', 'the authentic, non-tagg']",-5.70766262960181,20.0122262326694,25.71988886227121
1861,['YLL045C'],"['>YLL045C RPL8B SGDID:S000003968, Chr XII from 48629-47859, Genome Release 64-2-1, reverse complement, Verified ORF, Ribosomal 60S subunit protein L8B', 'required for processing of 27SA3 pre-rRNA to 27SB pre-rRNA during assembly of large ribosomal subunit', 'd']",-5.683336116181948,20.5597355686105,26.243071684792447
309,['YBR143C'],"['>YBR143C SUP45 SGDID:S000000347, Chr II from 532182-530869, Genome Release 64-2-1, reverse complement, Verified ORF, Polypeptide release factor (eRF1) in translation termination', 'mutant form acts as a recessive omnipotent suppressor', 'methylated by Mtq2p-T']",-5.590614442759588,18.593354646424444,24.183969089184032
1200,['YGR155W'],"['>YGR155W CYS4 SGDID:S000003387, Chr VII from 798543-800066, Genome Release 64-2-1, Verified ORF, Cystathionine beta-synthase', 'catalyzes synthesis of cystathionine from serine and homocysteine, the first committed step in cysteine biosynthesis', 'responsible']",-5.581485291152294,20.62453132209709,26.206016613249385
2023,['YLR355C'],"['>YLR355C ILV5 SGDID:S000004347, Chr XII from 839253-838066, Genome Release 64-2-1, reverse complement, Verified ORF, Acetohydroxyacid reductoisomerase and mtDNA binding protein', 'involved in branched-chain amino acid biosynthesis and maintenance of wild-ty']",-5.579946691195449,22.00754609121254,27.58749278240799
478,['YDL075W'],"['>YDL075W RPL31A SGDID:S000002233, Chr IV from 322226-322282,322704-322988, Genome Release 64-2-1, Verified ORF, Ribosomal 60S subunit protein L31A', 'associates with karyopherin Sxm1p', 'loss of both Rpl31p and Rpl39p confers lethality', 'homologous to mammalia']",-5.470023916991842,22.059894968470815,27.529918885462656
884,['YER036C'],"['>YER036C ARB1 SGDID:S000000838, Chr V from 225199-223367, Genome Release 64-2-1, reverse complement, Verified ORF, ATPase of the ATP-binding cassette (ABC) family', 'involved in 40S and 60S ribosome biogenesis, has similarity to Gcn20p', 'shuttles from nucleu']",-5.449912067095372,19.892065452079844,25.341977519175217
463,['YDL051W'],"['>YDL051W LHP1 SGDID:S000002209, Chr IV from 363952-364779, Genome Release 64-2-1, Verified ORF, RNA binding protein required for maturation of tRNA and U6 snRNA', 'acts as a molecular chaperone for RNAs transcribed by polymerase III', 'homologous to human La']",-5.435358839259681,17.38313050193237,22.818489341192052
383,['YCL028W'],"['>YCL028W RNQ1 SGDID:S000000533, Chr III from 70150-71367, Genome Release 64-2-1, Verified ORF, [PIN(+)] prion', 'an infectious protein conformation that is generally an ordered protein aggregate']",-5.3760643351421145,17.153631194101663,22.529695529243778
1093,['YGL147C'],"['>YGL147C RPL9A SGDID:S000003115, Chr VII from 228329-227754, Genome Release 64-2-1, reverse complement, Verified ORF, Ribosomal 60S subunit protein L9A', 'homologous to mammalian ribosomal protein L9 and bacterial L6', 'RPL9A has a paralog, RPL9B, that arose']",-5.364765317160348,23.242795558391744,28.607560875552092
1409,['YHR208W'],"['>YHR208W BAT1 SGDID:S000001251, Chr VIII from 517532-518713, Genome Release 64-2-1, Verified ORF, Mitochondrial branched-chain amino acid (BCAA) aminotransferase', 'preferentially involved in BCAA biosynthesis', 'homolog of murine ECA39', 'highly expressed duri']",-5.3502471388772115,20.065395096623003,25.415642235500215
2297,['YNL007C'],"['>YNL007C SIS1 SGDID:S000004952, Chr XIV from 619565-618507, Genome Release 64-2-1, reverse complement, Verified ORF, Type II HSP40 co-chaperone that interacts with the HSP70 protein Ssa1p', 'shuttles between cytosol and nucleus', 'mediates delivery of misfold']",-5.31656505890372,19.047161197731004,24.363726256634724
1605,['YJR007W'],"['>YJR007W SUI2 SGDID:S000003767, Chr X from 451020-451934, Genome Release 64-2-1, Verified ORF, Alpha subunit of the translation initiation factor eIF2', 'eIF2 is involved in identification of the start codon', 'phosphorylation of Ser51 is required for regulat']",-5.288690421516705,17.602481400622494,22.8911718221392
1471,['YIL133C'],"['>YIL133C RPL16A SGDID:S000001395, Chr IX from 99095-98527,99416-99386, Genome Release 64-2-1, reverse complement, Verified ORF, Ribosomal 60S subunit protein L16A', 'N-terminally acetylated, binds 5.8 S rRNA', 'transcriptionally regulated by Rap1p', 'homologous']",-5.257612197935039,20.788594084506745,26.046206282441783
2179,['YMR072W'],"['>YMR072W ABF2 SGDID:S000004676, Chr XIII from 411569-412120, Genome Release 64-2-1, Verified ORF, Mitochondrial DNA-binding protein', 'involved in mitochondrial DNA replication and recombination, member of HMG1 DNA-binding protein family', 'activity may be re']",-5.255588011434206,19.009905140445355,24.26549315187956
1997,['YLR304C'],"['>YLR304C ACO1 SGDID:S000004295, Chr XII from 737548-735212, Genome Release 64-2-1, reverse complement, Verified ORF, Aconitase', 'required for the tricarboxylic acid (TCA) cycle and also independently required for mitochondrial genome maintenance', 'phosphory']",-5.244060801439808,19.24736663236753,24.49142743380734
1295,['YHL033C'],"['>YHL033C RPL8A SGDID:S000001025, Chr VIII from 36025-35255, Genome Release 64-2-1, reverse complement, Verified ORF, Ribosomal 60S subunit protein L8A', 'required for processing of 27SA3 pre-rRNA to 27SB pre-rRNA during assembly of large ribosomal subunit', '']",-5.2292880701938955,23.019421734073603,28.2487098042675
339,['YBR221C'],"['>YBR221C PDB1 SGDID:S000000425, Chr II from 666253-665153, Genome Release 64-2-1, reverse complement, Verified ORF, E1 beta subunit of the pyruvate dehydrogenase (PDH) complex', 'PDH is an evolutionarily conserved multi-protein complex found in mitochondria']",-5.215144867738939,18.497048765162315,23.712193632901254
2656,['YOR167C'],"['>YOR167C RPS28A SGDID:S000005693, Chr XV from 649007-648804, Genome Release 64-2-1, reverse complement, Verified ORF, Protein component of the small (40S) ribosomal subunit', 'has an extraribosomal function in regulation of RPS28B, in which Rps28Ap binds to']",-5.212804074888609,22.68166049977283,27.894464574661438
1053,['YGL048C'],"['>YGL048C RPT6 SGDID:S000003016, Chr VII from 411286-410069, Genome Release 64-2-1, reverse complement, Verified ORF, ATPase of the 19S regulatory particle of the 26S proteasome', 'one of six ATPases of the regulatory particle', 'involved in the degradation of']",-5.176351270601742,18.943064208162006,24.11941547876375
1933,['YLR175W'],"['>YLR175W CBF5 SGDID:S000004165, Chr XII from 506134-507585, Genome Release 64-2-1, Verified ORF, Pseudouridine synthase catalytic subunit of box H/ACA snoRNPs', 'acts on large and small rRNAs, on snRNA U2, and on some mRNAs', 'mutations in human ortholog dysk']",-5.17433824599377,18.752805290472313,23.927143536466083
203,['YBL047C'],"['>YBL047C EDE1 SGDID:S000000143, Chr II from 132040-127895, Genome Release 64-2-1, reverse complement, Verified ORF, Scaffold protein involved in the formation of early endocytic sites', 'putative regulator of cytokinesis', 'homo-oligomerization is required fo']",-5.171216017890874,16.63495281748288,21.806168835373754
2724,['YOR293W'],"['>YOR293W RPS10A SGDID:S000005819, Chr XV from 867098-867149,867587-867852, Genome Release 64-2-1, Verified ORF, Protein component of the small (40S) ribosomal subunit', 'homologous to mammalian ribosomal protein S10, no bacterial homolog', 'RPS10A has a paral']",-5.118442286119269,22.616611658800856,27.735053944920125
417,['YCR028C-A'],"['>YCR028C-A RIM1 SGDID:S000007222, Chr III from 173115-172950,173440-173199, Genome Release 64-2-1, reverse complement, Verified ORF, ssDNA-binding protein essential for mitochondrial genome maintenance', 'involved in mitochondrial DNA replication']",-5.091538235171729,19.302737084822603,24.394275319994332
1146,['YGR034W'],"['>YGR034W RPL26B SGDID:S000003266, Chr VII from 555812-555830,556308-556672, Genome Release 64-2-1, Verified ORF, Ribosomal 60S subunit protein L26B', 'binds to 5.8S rRNA', 'non-essential even when paralog is also deleted', 'deletion has minimal affections on ri']",-5.079608444242577,22.63043155928143,27.710040003524007
2300,['YNL010W'],"['>YNL010W YNL010W SGDID:S000004955, Chr XIV from 613635-614360, Genome Release 64-2-1, Uncharacterized ORF, Putative protein of unknown function', 'similar to phosphoserine phosphatases', 'green fluorescent protein (GFP)-fusion protein localizes to the cytopla']",-5.053709501371451,20.074308741440255,25.128018242811706
1168,['YGR086C'],"['>YGR086C PIL1 SGDID:S000003318, Chr VII from 650617-649598, Genome Release 64-2-1, reverse complement, Verified ORF, Eisosome core component', 'eisosomes are large immobile cell cortex structures associated with endocytosis', 'detected in phosphorylated state']",-5.052609233686955,20.995968602780735,26.04857783646769
2015,['YLR344W'],"['>YLR344W RPL26A SGDID:S000004336, Chr XII from 819312-819330,819778-820142, Genome Release 64-2-1, Verified ORF, Ribosomal 60S subunit protein L26A', 'binds to 5.8S rRNA', 'non-essential even when paralog is also deleted', 'deletion has minimal affections on ri']",-5.052249721318848,18.665183222399097,23.717432943717945
2695,['YOR232W'],"['>YOR232W MGE1 SGDID:S000005758, Chr XV from 774573-775259, Genome Release 64-2-1, Verified ORF, Mitochondrial matrix cochaperone', 'nucleotide release factor for Ssc1p in protein translocation and folding', 'also acts as cochaperone for Ssq1p in folding of Fe']",-5.049362248175001,17.44629177463663,22.49565402281163
2760,['YOR374W'],"['>YOR374W ALD4 SGDID:S000005901, Chr XV from 1039840-1041399, Genome Release 64-2-1, Verified ORF, Mitochondrial aldehyde dehydrogenase', 'required for growth on ethanol and conversion of acetaldehyde to acetate', 'phosphorylated', 'activity is K+ dependent', 'uti']",-5.044994311390212,19.43161594140143,24.47661025279164
2743,['YOR335C'],"['>YOR335C ALA1 SGDID:S000005862, Chr XV from 949109-946233, Genome Release 64-2-1, reverse complement, Verified ORF, Cytoplasmic and mitochondrial alanyl-tRNA synthetase', 'required for protein synthesis', 'point mutation (cdc64-1 allele) causes cell cycle arr']",-5.026709587445801,21.54151260102587,26.568222188471672
224,"['YER117W', 'YBL087C']","['>YER117W RPL23B SGDID:S000000919, Chr V from 396769-396810,397282-397653, Genome Release 64-2-1, Verified ORF, Ribosomal 60S subunit protein L23B', 'homologous to mammalian ribosomal protein L23 and bacterial L14', 'RPL23B has a paralog, RPL23A, that arose fr']",-5.016445385684271,22.08845053329089,27.10489591897516
1595,['YJL189W'],"['>YJL189W RPL39 SGDID:S000003725, Chr X from 75933-75938,76325-76474, Genome Release 64-2-1, Verified ORF, Ribosomal 60S subunit protein L39', 'required for ribosome biogenesis', 'loss of both Rpl31p and Rpl39p confers lethality', 'also exhibits genetic interact']",-5.011744869324335,19.721189327622604,24.73293419694694
2071,['YLR448W'],"['>YLR448W RPL6B SGDID:S000004440, Chr XII from 1028854-1028868,1029253-1029768, Genome Release 64-2-1, Verified ORF, Ribosomal 60S subunit protein L6B', 'binds 5.8S rRNA', 'homologous to mammalian ribosomal protein L6, no bacterial homolog', 'RPL6B has a paralog']",-4.999514187173517,22.59802977608141,27.597543963254928
2876,['YPL249C-A'],"['>YPL249C-A RPL36B SGDID:S000006438, Chr XVI from 75985-75699,76239-76224, Genome Release 64-2-1, reverse complement, Verified ORF, Ribosomal 60S subunit protein L36B', 'binds to 5.8 S rRNA', 'homologous to mammalian ribosomal protein L36, no bacterial homolog']",-4.97344322741224,22.522960758922288,27.496403986334528
2116,['YML074C'],"['>YML074C FPR3 SGDID:S000004539, Chr XIII from 121324-120089, Genome Release 64-2-1, reverse complement, Verified ORF, Nucleolar peptidyl-prolyl cis-trans isomerase (PPIase)', 'FK506 binding protein', 'affects expression of multiple genes via its role in nucle']",-4.965211293971734,19.66457575357685,24.629787047548586
1879,['YLR028C'],"['>YLR028C ADE16 SGDID:S000004018, Chr XII from 201315-199540, Genome Release 64-2-1, reverse complement, Verified ORF, Enzyme of de novo purine biosynthesis', 'contains both 5-aminoimidazole-4-carboxamide ribonucleotide transformylase and inosine monophosp']",-4.914155141939183,18.16467127561902,23.078826417558204
2677,"['YOR204W', 'YPL119C']","['>YOR204W DED1 SGDID:S000005730, Chr XV from 722911-724725, Genome Release 64-2-1, Verified ORF, ATP-dependent DEAD (Asp-Glu-Ala-Asp)-box RNA helicase', 'required for translation initiation of all yeast mRNAs', 'binds to mRNA cap-associated factors, and bindin']",-4.91226746809777,20.647549772512573,25.559817240610343
958,['YER165W'],"['>YER165W PAB1 SGDID:S000000967, Chr V from 510373-512106, Genome Release 64-2-1, Verified ORF, Poly(A) binding protein', 'part of the 3-end RNA-processing complex, mediates interactions between the 5 cap structure and the 3 mRNA poly(A) tail, involved in']",-4.910540304564044,22.494409320732554,27.4049496252966
2581,['YOR020C'],"['>YOR020C HSP10 SGDID:S000005546, Chr XV from 370844-370524, Genome Release 64-2-1, reverse complement, Verified ORF, Mitochondrial matrix co-chaperonin', 'inhibits the ATPase activity of Hsp60p, a mitochondrial chaperonin', 'involved in protein folding and so']",-4.883770151897387,19.854070912242754,24.73784106414014
1123,['YGL234W'],"['>YGL234W ADE5,7 SGDID:S000003203, Chr VII from 56482-58890, Genome Release 64-2-1, Verified ORF, Enzyme of the de novo purine nucleotide biosynthetic pathway', 'contains aminoimidazole ribotide synthetase and glycinamide ribotide synthetase activities']",-4.8498676231203,19.417984334068308,24.267851957188608
1590,['YJL177W'],"['>YJL177W RPL17B SGDID:S000003713, Chr X from 90786-91094,91412-91657, Genome Release 64-2-1, Verified ORF, Ribosomal 60S subunit protein L17B', 'homologous to mammalian ribosomal protein L17 and bacterial L22', 'RPL17B has a paralog, RPL17A, that arose from t']",-4.840380721807392,19.65958483743292,24.499965559240312
1094,['YGL148W'],"['>YGL148W ARO2 SGDID:S000003116, Chr VII from 226399-227529, Genome Release 64-2-1, Verified ORF, Bifunctional chorismate synthase and flavin reductase', 'catalyzes the conversion of 5-enolpyruvylshikimate 3-phosphate (EPSP) to form chorismate, which is a pr']",-4.824642778196974,19.719101333601756,24.54374411179873
564,['YDL229W'],"['>YDL229W SSB1 SGDID:S000002388, Chr IV from 44065-45906, Genome Release 64-2-1, Verified ORF, Cytoplasmic ATPase that is a ribosome-associated molecular chaperone', 'functions with J-protein partner Zuo1p', 'may be involved in folding of newly-made polypeptid']",-4.820496793707413,19.960420575171668,24.78091736887908
1180,"['YPR132W', 'YGR118W']","['>YPR132W RPS23B SGDID:S000006336, Chr XVI from 794965-795029,795395-795767, Genome Release 64-2-1, Verified ORF, Ribosomal protein 28 (rp28) of the small (40S) ribosomal subunit', 'required for translational accuracy', 'homologous to mammalian ribosomal prote']",-4.792034181152463,21.845788641744917,26.63782282289738
1608,['YJR016C'],"['>YJR016C ILV3 SGDID:S000003777, Chr X from 466208-464451, Genome Release 64-2-1, reverse complement, Verified ORF, Dihydroxyacid dehydratase', 'catalyzes third step in the common pathway leading to biosynthesis of branched-chain amino acids']",-4.791830485299794,20.997967798235557,25.78979828353535
1203,['YGR159C'],"['>YGR159C NSR1 SGDID:S000003391, Chr VII from 807656-806412, Genome Release 64-2-1, reverse complement, Verified ORF, Nucleolar protein that binds nuclear localization sequences', 'required for pre-rRNA processing and ribosome biogenesis']",-4.788145383898797,19.79114062614142,24.579286010040217
2697,['YOR234C'],"['>YOR234C RPL33B SGDID:S000005760, Chr XV from 778859-778555,779405-779387, Genome Release 64-2-1, reverse complement, Verified ORF, Ribosomal 60S subunit protein L33B', 'rpl33b null mutant exhibits normal growth while rpl33a rpl33b double null mutant is inv']",-4.7862714850056065,20.009631825100996,24.795903310106603
891,['YER052C'],"['>YER052C HOM3 SGDID:S000000854, Chr V from 257958-256375, Genome Release 64-2-1, reverse complement, Verified ORF, Aspartate kinase (L-aspartate 4-P-transferase)', 'cytoplasmic enzyme that catalyzes the first step in the common pathway for methionine and th']",-4.7726129613390995,18.120653013704754,22.893265975043853
1276,['YGR285C'],"['>YGR285C ZUO1 SGDID:S000003517, Chr VII from 1063153-1061852, Genome Release 64-2-1, reverse complement, Verified ORF, Ribosome-associated chaperone', 'zuotin functions in ribosome biogenesis and, in partnership with Ssz1p and SSb1/2, as a chaperone for nas']",-4.751175304652605,21.05152228682974,25.802697591482346
784,['YDR454C'],"['>YDR454C GUK1 SGDID:S000002862, Chr IV from 1366827-1366264, Genome Release 64-2-1, reverse complement, Verified ORF, Guanylate kinase', 'converts GMP to GDP', 'required for growth and mannose outer chain elongation of cell wall N-linked glycoproteins']",-4.749997434519816,19.539052762338066,24.289050196857882
1658,['YJR121W'],"['>YJR121W ATP2 SGDID:S000003882, Chr X from 647607-649142, Genome Release 64-2-1, Verified ORF, Beta subunit of the F1 sector of mitochondrial F1F0 ATP synthase', 'which is a large, evolutionarily conserved enzyme complex required for ATP synthesis', 'F1 trans']",-4.735344769297949,21.75082799944181,26.48617276873976
780,"['YML024W', 'YDR447C']","['>YML024W RPS17A SGDID:S000004486, Chr XIII from 225889-225891,226290-226697, Genome Release 64-2-1, Verified ORF, Ribosomal protein 51 (rp51) of the small (40s) subunit', 'homologous to mammalian ribosomal protein S17, no bacterial homolog', 'RPS17A has a par']",-4.7098598982321995,23.670444469121374,28.380304367353574
1992,"['YOR182C', 'YLR287C-A']","['>YOR182C RPS30B SGDID:S000005708, Chr XV from 678379-678191,678793-678791, Genome Release 64-2-1, reverse complement, Verified ORF, Protein component of the small (40S) ribosomal subunit', 'homologous to mammalian ribosomal protein S30, no bacterial homolog']",-4.704068960746149,21.935134828123324,26.639203788869473
731,['YDR345C'],"['>YDR345C HXT3 SGDID:S000002753, Chr IV from 1164660-1162957, Genome Release 64-2-1, reverse complement, Verified ORF, Low affinity glucose transporter of the major facilitator superfamily', 'expression is induced in low or high glucose conditions', 'HXT3 has']",-4.689215936685962,18.180054829054463,22.869270765740424
2665,['YOR184W'],"['>YOR184W SER1 SGDID:S000005710, Chr XV from 679357-680544, Genome Release 64-2-1, Verified ORF, 3-phosphoserine aminotransferase', 'catalyzes the formation of phosphoserine from 3-phosphohydroxypyruvate, required for serine and glycine biosynthesis', 'regulat']",-4.6820808810956365,19.3855970262863,24.06767790738194
245,['YBR025C'],"['>YBR025C OLA1 SGDID:S000000229, Chr II from 291865-290681, Genome Release 64-2-1, reverse complement, Verified ORF, P-loop ATPase with similarity to human OLA1 and bacterial YchF', 'identified as specifically interacting with the proteasome', 'null mutant dis']",-4.680252728308972,21.93725598946118,26.61750871777015
1116,['YGL207W'],"['>YGL207W SPT16 SGDID:S000003175, Chr VII from 98969-102076, Genome Release 64-2-1, Verified ORF, Subunit of the heterodimeric FACT complex (Spt16p-Pob3p)', 'FACT associates with chromatin via interaction with Nhp6Ap and Nhp6Bp, and reorganizes nucleosomes t']",-4.678743565482996,17.83120826297522,22.509951828458217
1343,['YHR074W'],"['>YHR074W QNS1 SGDID:S000001116, Chr VIII from 246193-248337, Genome Release 64-2-1, Verified ORF, Glutamine-dependent NAD(+) synthetase', 'essential for the formation of NAD(+) from nicotinic acid adenine dinucleotide']",-4.670558983314198,17.22204015786482,21.89259914117902
1659,['YJR123W'],"['>YJR123W RPS5 SGDID:S000003884, Chr X from 651901-652578, Genome Release 64-2-1, Verified ORF, Protein component of the small (40S) ribosomal subunit', 'least basic of non-acidic ribosomal proteins', 'phosphorylated in vivo', 'essential for viability', 'homologou']",-4.661690999544426,23.641741317603838,28.303432317148264
1675,['YKL006W'],"['>YKL006W RPL14A SGDID:S000001489, Chr XI from 431906-432034,432433-432720, Genome Release 64-2-1, Verified ORF, Ribosomal 60S subunit protein L14A', 'N-terminally acetylated', 'homologous to mammalian ribosomal protein L14, no bacterial homolog', 'RPL14A has a']",-4.66132138752608,22.6471105558255,27.30843194335158
2761,"['YOR375C', 'YAL062W']","['>YOR375C GDH1 SGDID:S000005902, Chr XV from 1043042-1041678, Genome Release 64-2-1, reverse complement, Verified ORF, NADP(+)-dependent glutamate dehydrogenase', 'synthesizes glutamate from ammonia and alpha-ketoglutarate', 'rate of alpha-ketoglutarate utiliz']",-4.6604428460976095,21.75552168572923,26.41596453182684
2014,['YLR342W'],"['>YLR342W FKS1 SGDID:S000004334, Chr XII from 809997-815627, Genome Release 64-2-1, Verified ORF, Catalytic subunit of 1,3-beta-D-glucan synthase', 'functionally redundant with alternate catalytic subunit Gsc2p', 'binds to regulatory subunit Rho1p', 'involved in']",-4.6585084752473875,20.08329752466751,24.7418059999149
1633,['YJR070C'],"['>YJR070C LIA1 SGDID:S000003831, Chr X from 570598-569621, Genome Release 64-2-1, reverse complement, Verified ORF, Deoxyhypusine hydroxylase', 'HEAT-repeat containing metalloenzyme that catalyzes hypusine formation', 'binds to and is required for the modifica']",-4.647989172566302,19.62520940608778,24.273198578654082
1762,['YKL180W'],"['>YKL180W RPL17A SGDID:S000001663, Chr XI from 109269-109577,109884-110129, Genome Release 64-2-1, Verified ORF, Ribosomal 60S subunit protein L17A', 'copurifies with the Dam1 complex (aka DASH complex)', 'homologous to mammalian ribosomal protein L17 and bact']",-4.646138263777573,24.373184838730733,29.019323102508306
1033,"['YGL008C', 'YPL036W']","['>YGL008C PMA1 SGDID:S000002976, Chr VII from 482666-479910, Genome Release 64-2-1, reverse complement, Verified ORF, Plasma membrane P2-type H+-ATPase', 'pumps protons out of cell', 'major regulator of cytoplasmic pH and plasma membrane potential', 'long-lived']",-4.64344357857761,25.825149206610142,30.468592785187752
1206,['YGR162W'],"['>YGR162W TIF4631 SGDID:S000003394, Chr VII from 824059-826917, Genome Release 64-2-1, Verified ORF, Translation initiation factor eIF4G', 'subunit of the mRNA cap-binding protein complex (eIF4F) that also contains eIF4E (Cdc33p)', 'interacts with Pab1p and wi']",-4.626103682548212,18.581082863754204,23.207186546302417
2166,['YMR038C'],"['>YMR038C CCS1 SGDID:S000004641, Chr XIII from 348260-347511, Genome Release 64-2-1, reverse complement, Verified ORF, Copper chaperone for superoxide dismutase Sod1p', 'involved in oxidative stress protection', 'Met-X-Cys-X2-Cys motif within the N-terminal po']",-4.617079954330453,18.84018167589974,23.457261630230192
