,Protein IDs,Fasta headers,diff,Intensity Pynd_AlkKO_UbP,Intensity Control_UbP
1978,['YLR259C'],"['>YLR259C HSP60 SGDID:S000004249, Chr XII from 665002-663284, Genome Release 64-2-1, reverse complement, Verified ORF, Tetradecameric mitochondrial chaperonin', 'required for ATP-dependent folding of precursor polypeptides and complex assembly', 'prevents aggr']",5.93041383304643,25.505155169926805,19.574741336880376
1699,['YKL054C'],"['>YKL054C DEF1 SGDID:S000001537, Chr XI from 338753-336537, Genome Release 64-2-1, reverse complement, Verified ORF, RNAPII degradation factor', 'forms a complex with Rad26p in chromatin, enables ubiquitination and proteolysis of RNAPII present in an elongat']",5.678706292092144,25.583452620465827,19.904746328373683
1894,['YLR061W'],"['>YLR061W RPL22A SGDID:S000004051, Chr XII from 263194-263205,263595-263948, Genome Release 64-2-1, Verified ORF, Ribosomal 60S subunit protein L22A', 'required for the oxidative stress response in yeast', 'homologous to mammalian ribosomal protein L22, no bac']",5.661627538844076,30.106244629012416,24.44461709016834
454,['YDL022W'],"['>YDL022W GPD1 SGDID:S000002180, Chr IV from 411825-413000, Genome Release 64-2-1, Verified ORF, NAD-dependent glycerol-3-phosphate dehydrogenase', 'key enzyme of glycerol synthesis, essential for growth under osmotic stress', 'expression regulated by high-osm']",5.61153320972975,24.312298017827725,18.700764808097976
2906,['YPR035W'],"['>YPR035W GLN1 SGDID:S000006239, Chr XVI from 642208-643320, Genome Release 64-2-1, Verified ORF, Glutamine synthetase (GS)', 'synthesizes glutamine from glutamate and ammonia', 'with Glt1p, forms the secondary pathway for glutamate biosynthesis from ammonia', '']",5.049205446209154,23.501181176973923,18.45197573076477
780,"['YML024W', 'YDR447C']","['>YML024W RPS17A SGDID:S000004486, Chr XIII from 225889-225891,226290-226697, Genome Release 64-2-1, Verified ORF, Ribosomal protein 51 (rp51) of the small (40s) subunit', 'homologous to mammalian ribosomal protein S17, no bacterial homolog', 'RPS17A has a par']",4.9739468792352355,23.76293915729172,18.788992278056483
1649,"['YPR043W', 'YJR094W-A']","['>YPR043W RPL43A SGDID:S000006247, Chr XVI from 654166-654167,654571-654847, Genome Release 64-2-1, Verified ORF, Ribosomal 60S subunit protein L43A', 'null mutation confers a dominant lethal phenotype', 'homologous to mammalian ribosomal protein L37A, no bact']",4.794545893031657,26.42588816754016,21.6313422745085
1747,['YKL152C'],"['>YKL152C GPM1 SGDID:S000001635, Chr XI from 164385-163642, Genome Release 64-2-1, reverse complement, Verified ORF, Tetrameric phosphoglycerate mutase', 'mediates the conversion of 3-phosphoglycerate to 2-phosphoglycerate during glycolysis and the reverse r']",4.527426651935571,28.611259779486424,24.083833127550854
2108,['YML063W'],"['>YML063W RPS1B SGDID:S000004528, Chr XIII from 146482-147249, Genome Release 64-2-1, Verified ORF, Ribosomal protein 10 (rp10) of the small (40S) subunit', 'homologous to mammalian ribosomal protein S3A, no bacterial homolog', 'RPS1B has a paralog, RPS1A, tha']",4.450450874943268,26.2173776447978,21.766926769854532
813,['YDR510W'],"['>YDR510W SMT3 SGDID:S000002918, Chr IV from 1469400-1469705, Genome Release 64-2-1, Verified ORF, Ubiquitin-like protein of the SUMO family', 'conjugated to lysine residues of target proteins', 'associates with transcriptionally active genes', 'regulates chroma']",4.436813570540096,25.908161331562763,21.471347761022667
2239,['YMR205C'],"['>YMR205C PFK2 SGDID:S000004818, Chr XIII from 674766-671887, Genome Release 64-2-1, reverse complement, Verified ORF, Beta subunit of heterooctameric phosphofructokinase', 'involved in glycolysis', 'indispensable for anaerobic growth', 'activated by fructose-2,']",4.380709100429819,25.417285194514967,21.03657609408515
255,"['YDR025W', 'YBR048W']","['>YDR025W RPS11A SGDID:S000002432, Chr IV from 491515-491559,491899-492324, Genome Release 64-2-1, Verified ORF, Protein component of the small (40S) ribosomal subunit', 'homologous to mammalian ribosomal protein S11 and bacterial S17', 'N-terminally propionyl']",4.355787155210226,24.08715591062105,19.731368755410823
2798,['YPL081W'],"['>YPL081W RPS9A SGDID:S000006002, Chr XVI from 404950-404956,405458-406044, Genome Release 64-2-1, Verified ORF, Protein component of the small (40S) ribosomal subunit', 'homologous to mammalian ribosomal protein S9 and bacterial S4', 'RPS9A has a paralog, RPS']",4.201820653722564,25.90239922132821,21.700578567605646
1107,['YGL189C'],"['>YGL189C RPS26A SGDID:S000003157, Chr VII from 148588-148229, Genome Release 64-2-1, reverse complement, Verified ORF, Protein component of the small (40S) ribosomal subunit', 'homologous to mammalian ribosomal protein S26, no bacterial homolog', 'RPS26A has']",4.170466452017589,22.559828907661473,18.389362455643884
325,['YBR189W'],"['>YBR189W RPS9B SGDID:S000000393, Chr II from 604508-604514,604928-605508, Genome Release 64-2-1, Verified ORF, Protein component of the small (40S) ribosomal subunit', 'homologous to mammalian ribosomal protein S9 and bacterial S4', 'RPS9B has a paralog, RPS9']",4.161533348328177,28.89596720152736,24.73443385319918
329,['YBR198C'],"['>YBR198C TAF5 SGDID:S000000402, Chr II from 618523-616127, Genome Release 64-2-1, reverse complement, Verified ORF, Subunit (90 kDa) of TFIID and SAGA complexes', 'involved in RNA polymerase II transcription initiation and in chromatin modification']",4.134409143917274,25.067924038072785,20.93351489415551
2302,['YNL015W'],"['>YNL015W PBI2 SGDID:S000004960, Chr XIV from 605384-605611, Genome Release 64-2-1, Verified ORF, Cytosolic inhibitor of vacuolar proteinase B (PRB1)', 'required for efficient vacuole inheritance', 'with thioredoxin forms protein complex LMA1, which assists in']",4.117171634564361,23.03190711966787,18.91473548510351
1043,['YGL026C'],"['>YGL026C TRP5 SGDID:S000002994, Chr VII from 448535-446412, Genome Release 64-2-1, reverse complement, Verified ORF, Tryptophan synthase', 'catalyzes the last step of tryptophan biosynthesis', 'regulated by the general control system of amino acid biosynthesi']",4.09106588129924,23.91779744955157,19.82673156825233
154,['YAL043C'],"['>YAL043C PTA1 SGDID:S000000041, Chr I from 61052-58695, Genome Release 64-2-1, reverse complement, Verified ORF, Subunit of holo-CPF', 'holo-CPF is a multiprotein complex and functional homolog of mammalian CPSF, required for the cleavage and polyadenylatio']",4.060299867511834,23.38429577504973,19.323995907537896
1605,['YJR007W'],"['>YJR007W SUI2 SGDID:S000003767, Chr X from 451020-451934, Genome Release 64-2-1, Verified ORF, Alpha subunit of the translation initiation factor eIF2', 'eIF2 is involved in identification of the start codon', 'phosphorylation of Ser51 is required for regulat']",4.054147228816003,23.40093362302902,19.346786394213016
2022,['YLR354C'],"['>YLR354C TAL1 SGDID:S000004346, Chr XII from 837357-836350, Genome Release 64-2-1, reverse complement, Verified ORF, Transaldolase, enzyme in the non-oxidative pentose phosphate pathway', 'converts sedoheptulose 7-phosphate and glyceraldehyde 3-phosphate to']",4.019292806371169,24.52820560342625,20.508912797055082
1243,['YGR229C'],"['>YGR229C SMI1 SGDID:S000003461, Chr VII from 950899-949382, Genome Release 64-2-1, reverse complement, Verified ORF, Protein involved in the regulation of cell wall synthesis', 'proposed to be involved in coordinating cell cycle progression with cell wall i']",3.9454005075620415,21.257875804210446,17.312475296648405
1426,['YIL041W'],"['>YIL041W GVP36 SGDID:S000001303, Chr IX from 276525-277505, Genome Release 64-2-1, Verified ORF, BAR domain protein that localizes to early and late Golgi vesicles', 'required for adaptation to varying nutrient concentrations, fluid-phase endocytosis, polar']",3.8727888696490815,25.654116562775766,21.781327693126684
2585,['YOR027W'],"['>YOR027W STI1 SGDID:S000005553, Chr XV from 381053-382822, Genome Release 64-2-1, Verified ORF, Hsp90 cochaperone', 'interacts with the Ssa group of the cytosolic Hsp70 chaperones and activates Ssa1p ATPase activity', 'interacts with Hsp90 chaperones and inhi']",3.8577998180384725,25.24670001284766,21.38890019480919
2351,"['YNL104C', 'YOR108W']","['>YNL104C LEU4 SGDID:S000005048, Chr XIV from 426754-424895, Genome Release 64-2-1, reverse complement, Verified ORF, Alpha-isopropylmalate synthase (2-isopropylmalate synthase)', 'the main isozyme responsible for the first step in the leucine biosynthesis p']",3.8436297836218962,23.73882043805548,19.895190654433584
2742,['YOR332W'],"['>YOR332W VMA4 SGDID:S000005859, Chr XV from 943656-944357, Genome Release 64-2-1, Verified ORF, Subunit E of the V1 domain of the vacuolar H+-ATPase (V-ATPase)', 'V-ATPase is an electrogenic proton pump found throughout the endomembrane system', 'V1 domain ha']",3.8395718495415956,23.274407729793225,19.43483588025163
1295,['YHL033C'],"['>YHL033C RPL8A SGDID:S000001025, Chr VIII from 36025-35255, Genome Release 64-2-1, reverse complement, Verified ORF, Ribosomal 60S subunit protein L8A', 'required for processing of 27SA3 pre-rRNA to 27SB pre-rRNA during assembly of large ribosomal subunit', '']",3.821953903298759,26.135885385590843,22.313931482292084
2866,['YPL231W'],"['>YPL231W FAS2 SGDID:S000006152, Chr XVI from 108652-114315, Genome Release 64-2-1, Verified ORF, Alpha subunit of fatty acid synthetase', 'complex catalyzes the synthesis of long-chain saturated fatty acids', 'contains the acyl-carrier protein domain and beta']",3.679829010488053,26.18903184507956,22.509202834591505
1033,"['YGL008C', 'YPL036W']","['>YGL008C PMA1 SGDID:S000002976, Chr VII from 482666-479910, Genome Release 64-2-1, reverse complement, Verified ORF, Plasma membrane P2-type H+-ATPase', 'pumps protons out of cell', 'major regulator of cytoplasmic pH and plasma membrane potential', 'long-lived']",3.6697674510679015,28.984625586423768,25.314858135355866
991,['YFL039C'],"['>YFL039C ACT1 SGDID:S000001855, Chr VI from 54377-53260,54696-54687, Genome Release 64-2-1, reverse complement, Verified ORF, Actin', 'structural protein involved in cell polarization, endocytosis, and other cytoskeletal functions']",3.6473309701973236,26.379395687117984,22.73206471692066
809,['YDR502C'],"['>YDR502C SAM2 SGDID:S000002910, Chr IV from 1454464-1453310, Genome Release 64-2-1, reverse complement, Verified ORF, S-adenosylmethionine synthetase', 'catalyzes transfer of the adenosyl group of ATP to the sulfur atom of methionine', 'comparative analysis s']",3.6425476993247976,25.02597356312551,21.383425863800714
417,['YCR028C-A'],"['>YCR028C-A RIM1 SGDID:S000007222, Chr III from 173115-172950,173440-173199, Genome Release 64-2-1, reverse complement, Verified ORF, ssDNA-binding protein essential for mitochondrial genome maintenance', 'involved in mitochondrial DNA replication']",3.6379934033763988,23.487016642985452,19.849023239609053
1065,['YGL076C'],"['>YGL076C RPL7A SGDID:S000003044, Chr VII from 364964-364335,365526-365433,365996-365986, Genome Release 64-2-1, reverse complement, Verified ORF, Ribosomal 60S subunit protein L7A', 'required for processing of 27SA3 pre-rRNA to 27SB pre-rRNA during assembly']",3.6364755807622586,24.02411431086774,20.387638730105483
1130,['YGL255W'],"['>YGL255W ZRT1 SGDID:S000003224, Chr VII from 20978-22108, Genome Release 64-2-1, Verified ORF, High-affinity zinc transporter of the plasma membrane', 'responsible for the majority of zinc uptake', 'transcription is induced under low-zinc conditions by the Za']",3.5933558677897786,21.59377406897779,18.000418201188012
2863,['YPL226W'],"['>YPL226W NEW1 SGDID:S000006147, Chr XVI from 121767-125357, Genome Release 64-2-1, Verified ORF, ATP binding cassette protein', 'cosediments with polysomes and is required for biogenesis of the small ribosomal subunit', 'Asn/Gln-rich rich region supports [NU+']",3.580442057560223,20.358852915497856,16.778410857937633
1927,['YLR150W'],"['>YLR150W STM1 SGDID:S000004140, Chr XII from 440467-441288, Genome Release 64-2-1, Verified ORF, Protein required for optimal translation under nutrient stress', 'perturbs association of Yef3p with ribosomes', 'involved in TOR signaling', 'binds G4 quadruplex a']",3.564777448122058,26.13655045639729,22.571773008275233
1083,['YGL123W'],"['>YGL123W RPS2 SGDID:S000003091, Chr VII from 277617-278381, Genome Release 64-2-1, Verified ORF, Protein component of the small (40S) subunit', 'essential for control of translational accuracy', 'phosphorylation by C-terminal domain kinase I (CTDK-I) enhances']",3.520157122324722,25.455255971669764,21.935098849345042
1554,['YJL104W'],"['>YJL104W PAM16 SGDID:S000003640, Chr X from 227327-227776, Genome Release 64-2-1, Verified ORF, Subunit of the import motor (PAM complex)', 'the PAM complex is a  component of the Translocase of the Inner Mitochondrial membrane (TIM23 complex)', 'forms a 1:1']",3.456866558536273,22.672949261104694,19.21608270256842
153,['YAL042W'],"['>YAL042W ERV46 SGDID:S000000040, Chr I from 61316-62563, Genome Release 64-2-1, Verified ORF, Protein localized to COPII-coated vesicles', 'forms a complex with Erv41p', 'involved in the membrane fusion stage of transport']",3.3814105189178356,20.31804845792041,16.936637939002573
2910,['YPR041W'],"['>YPR041W TIF5 SGDID:S000006245, Chr XVI from 648704-649921, Genome Release 64-2-1, Verified ORF, Translation initiation factor eIF5', 'functions both as a GTPase-activating protein to mediate hydrolysis of ribosome-bound GTP and as a GDP dissociation inhibi']",3.33156186454622,22.669536488276268,19.337974623730048
216,"['YER102W', 'YBL072C']","['>YER102W RPS8B SGDID:S000000904, Chr V from 363100-363702, Genome Release 64-2-1, Verified ORF, Protein component of the small (40S) ribosomal subunit', 'homologous to mammalian ribosomal protein S8, no bacterial homolog', 'RPS8B has a paralog, RPS8A, that ar']",3.2859775633512065,25.682710894051123,22.396733330699917
913,['YER086W'],"['>YER086W ILV1 SGDID:S000000888, Chr V from 328477-330207, Genome Release 64-2-1, Verified ORF, Threonine deaminase, catalyzes first step in isoleucine biosynthesis', 'expression is under general amino acid control', 'ILV1 locus exhibits highly positioned nucl']",3.2524248964159774,24.5602838490772,21.307858952661224
857,['YEL071W'],"['>YEL071W DLD3 SGDID:S000000797, Chr V from 16355-17845, Genome Release 64-2-1, Verified ORF, D-lactate dehydrogenase', 'part of the retrograde regulon which consists of genes whose expression is stimulated by damage to mitochondria and reduced in cells grow']",3.2473315409364325,23.25983059793359,20.012499056997157
413,['YCR012W'],"['>YCR012W PGK1 SGDID:S000000605, Chr III from 137746-138996, Genome Release 64-2-1, Verified ORF, 3-phosphoglycerate kinase', 'catalyzes transfer of high-energy phosphoryl groups from the acyl phosphate of 1,3-bisphosphoglycerate to ADP to produce ATP', 'key e']",3.220553607380321,28.86295615563093,25.642402548250608
2296,['YNL006W'],"['>YNL006W LST8 SGDID:S000004951, Chr XIV from 620067-620978, Genome Release 64-2-1, Verified ORF, Protein required for the transport of Gap1p', 'required for the transport of amino acid permease Gap1p from the Golgi to the cell surface', 'component of the TOR']",3.215146648070757,21.44288479124288,18.22773814317212
271,['YBR078W'],"['>YBR078W ECM33 SGDID:S000000282, Chr II from 393123-393180,393511-394742, Genome Release 64-2-1, Verified ORF, GPI-anchored protein of unknown function', 'possible role in apical bud growth', 'GPI-anchoring on the plasma membrane crucial to function', 'phosphor']",3.085858547927643,22.246178095671457,19.160319547743814
1702,['YKL060C'],"['>YKL060C FBA1 SGDID:S000001543, Chr XI from 327487-326408, Genome Release 64-2-1, reverse complement, Verified ORF, Fructose 1,6-bisphosphate aldolase', 'required for glycolysis and gluconeogenesis', 'catalyzes conversion of fructose 1,6 bisphosphate to glyce']",2.9766372867502326,29.89154153132145,26.91490424457122
1863,['YLL050C'],"['>YLL050C COF1 SGDID:S000003973, Chr XII from 40221-39804,40414-40401, Genome Release 64-2-1, reverse complement, Verified ORF, Cofilin, involved in pH-dependent actin filament depolarization', 'binds both actin monomers and filaments and severs filaments', 'i']",2.9580666575804067,25.01363243059649,22.055565773016085
836,['YEL021W'],"['>YEL021W URA3 SGDID:S000000747, Chr V from 116167-116970, Genome Release 64-2-1, Verified ORF, Orotidine-5-phosphate (OMP) decarboxylase', 'catalyzes the sixth enzymatic step in the de novo biosynthesis of pyrimidines, converting OMP into uridine monophosp']",2.919393457359245,27.497470336130842,24.578076878771597
2329,['YNL069C'],"['>YNL069C RPL16B SGDID:S000005013, Chr XIV from 494524-493956,495001-494974, Genome Release 64-2-1, reverse complement, Verified ORF, Ribosomal 60S subunit protein L16B', 'N-terminally acetylated, binds 5.8 S rRNA', 'transcriptionally regulated by Rap1p', 'homol']",2.895478121385203,24.397412467282983,21.50193434589778
807,['YDR500C'],"['>YDR500C RPL37B SGDID:S000002908, Chr IV from 1450457-1450198,1450853-1450847, Genome Release 64-2-1, reverse complement, Verified ORF, Ribosomal 60S subunit protein L37B', 'protein abundance increases in response to DNA replication stress', 'homologous to ma']",2.856693330641299,21.049130638581154,18.192437307939855
1296,['YHL034C'],"['>YHL034C SBP1 SGDID:S000001026, Chr VIII from 34077-33193, Genome Release 64-2-1, reverse complement, Verified ORF, Protein that binds eIF4G and has a role in repression of translation', 'has an RGG motif', 'found in cytoplasmic P bodies', 'binds to mRNAs under']",2.8332741012347356,24.010946680442828,21.177672579208092
1732,['YKL121W'],"['>YKL121W DGR2 SGDID:S000001604, Chr XI from 214142-216700, Genome Release 64-2-1, Uncharacterized ORF, Protein of unknown function', 'null mutant is resistant to 2-deoxy-D-glucose and displays abnormally elongated buds', 'DGR2 has a paralog, YMR102C, that aro']",2.818602249078822,21.05510234161517,18.23650009253635
1287,['YHL015W'],"['>YHL015W RPS20 SGDID:S000001007, Chr VIII from 75412-75777, Genome Release 64-2-1, Verified ORF, Protein component of the small (40S) ribosomal subunit', 'overproduction suppresses mutations affecting RNA polymerase III-dependent transcription', 'homologous t']",2.8173199237511994,24.743142352251827,21.925822428500627
1911,['YLR109W'],"['>YLR109W AHP1 SGDID:S000004099, Chr XII from 368781-369311, Genome Release 64-2-1, Verified ORF, Thiol-specific peroxiredoxin', 'reduces hydroperoxides to protect against oxidative damage', 'function in vivo requires covalent conjugation to Urm1p']",2.797566366533495,28.32547380006287,25.527907433529375
1658,['YJR121W'],"['>YJR121W ATP2 SGDID:S000003882, Chr X from 647607-649142, Genome Release 64-2-1, Verified ORF, Beta subunit of the F1 sector of mitochondrial F1F0 ATP synthase', 'which is a large, evolutionarily conserved enzyme complex required for ATP synthesis', 'F1 trans']",2.71334985886568,22.41717572210441,19.70382586323873
958,['YER165W'],"['>YER165W PAB1 SGDID:S000000967, Chr V from 510373-512106, Genome Release 64-2-1, Verified ORF, Poly(A) binding protein', 'part of the 3-end RNA-processing complex, mediates interactions between the 5 cap structure and the 3 mRNA poly(A) tail, involved in']",2.7049606976245464,25.73717058292219,23.032209885297643
841,"['YEL034W', 'YJR047C']","['>YEL034W HYP2 SGDID:S000000760, Chr V from 85676-86149, Genome Release 64-2-1, Verified ORF, Translation elongation factor eIF-5A', 'required for translation of proteins containing polyproline stretches, including Bni1p, and this leads to a requirement for']",2.6758729996346986,21.744682760670464,19.068809761035766
323,"['YPL090C', 'YBR181C']","['>YPL090C RPS6A SGDID:S000006011, Chr XVI from 377995-377291,378395-378390, Genome Release 64-2-1, reverse complement, Verified ORF, Protein component of the small (40S) ribosomal subunit', 'homologous to mammalian ribosomal protein S6, no bacterial homolog', '']",2.649869542901037,26.46388552865694,23.814015985755905
591,['YDR050C'],"['>YDR050C TPI1 SGDID:S000002457, Chr IV from 556472-555726, Genome Release 64-2-1, reverse complement, Verified ORF, Triose phosphate isomerase, abundant glycolytic enzyme', 'mRNA half-life is regulated by iron availability', 'transcription is controlled by ac']",2.602988639334349,25.985570451602495,23.382581812268146
965,['YER177W'],"['>YER177W BMH1 SGDID:S000000979, Chr V from 545611-546414, Genome Release 64-2-1, Verified ORF, 14-3-3 protein, major isoform', 'controls proteome at post-transcriptional level, binds proteins and DNA, involved in regulation of exocytosis, vesicle transport,']",2.58961944099579,25.49689155832773,22.90727211733194
943,['YER136W'],"['>YER136W GDI1 SGDID:S000000938, Chr V from 439616-440971, Genome Release 64-2-1, Verified ORF, GDP dissociation inhibitor', 'regulates vesicle traffic in secretory pathways by regulating the dissociation of GDP from the Sec4/Ypt/rab family of GTP binding pr']",2.579743723084306,21.74303959985401,19.163295876769705
2755,['YOR369C'],"['>YOR369C RPS12 SGDID:S000005896, Chr XV from 1028625-1028194, Genome Release 64-2-1, reverse complement, Verified ORF, Protein component of the small (40S) ribosomal subunit', 'homologous to mammalian ribosomal protein S12, no bacterial homolog']",2.5691823612895917,26.836534288008203,24.26735192671861
1572,"['YKR059W', 'YJL138C']","['>YKR059W TIF1 SGDID:S000001767, Chr XI from 554987-556174, Genome Release 64-2-1, Verified ORF, Translation initiation factor eIF4A', 'DEA(D/H)-box RNA helicase that couples ATPase activity to RNA binding and unwinding', 'forms a dumbbell structure of two com']",2.550656841155085,27.54244576879612,24.991788927641036
1518,['YJL034W'],"['>YJL034W KAR2 SGDID:S000003571, Chr X from 381327-383375, Genome Release 64-2-1, Verified ORF, ATPase involved in protein import into the ER', 'also acts as a chaperone to mediate protein folding in the ER and may play a role in ER export of soluble protein']",2.526918087391259,24.154836646852424,21.627918559461165
132,['YAL003W'],"['>YAL003W EFB1 SGDID:S000000003, Chr I from 142174-142253,142620-143160, Genome Release 64-2-1, Verified ORF, Translation elongation factor 1 beta', 'stimulates nucleotide exchange to regenerate EF-1 alpha-GTP for the next elongation cycle', 'part of the EF-1']",2.508424196475481,27.270349513218875,24.761925316743394
944,['YER138C'],"['>YER138C YER138C SGDID:S000000940, Chr V from 447721-443756,449024-447723, Genome Release 64-2-1, reverse complement, transposable_element_gene, Retrotransposon TYA Gag and TYB Pol genes', 'transcribed/translated as one unit', 'polyprotein is processed to mak']",2.5031500734013292,20.16680545841399,17.66365538501266
2065,"['YLR432W', 'YHR216W', 'YAR075W', 'YAR073W']","['>YLR432W IMD3 SGDID:S000004424, Chr XII from 1002557-1004128, Genome Release 64-2-1, Verified ORF, Inosine monophosphate dehydrogenase', 'catalyzes the rate-limiting step in the de novo synthesis of GTP', 'member of a four-gene family in S. cerevisiae, consti']",2.5022040253634295,27.344265426976317,24.842061401612888
648,['YDR155C'],"['>YDR155C CPR1 SGDID:S000002562, Chr IV from 769000-768512, Genome Release 64-2-1, reverse complement, Verified ORF, Cytoplasmic peptidyl-prolyl cis-trans isomerase (cyclophilin)', 'catalyzes the cis-trans isomerization of peptide bonds N-terminal to proline']",2.4990648847309487,25.71227236329178,23.213207478560832
2013,['YLR340W'],"['>YLR340W RPP0 SGDID:S000004332, Chr XII from 805887-806825, Genome Release 64-2-1, Verified ORF, Conserved ribosomal protein P0 of the ribosomal stalk', 'involved in interaction between translational elongation factors and the ribosome', 'phosphorylated on se']",2.494054004522944,26.8595835049683,24.365529500445355
2761,"['YOR375C', 'YAL062W']","['>YOR375C GDH1 SGDID:S000005902, Chr XV from 1043042-1041678, Genome Release 64-2-1, reverse complement, Verified ORF, NADP(+)-dependent glutamate dehydrogenase', 'synthesizes glutamate from ammonia and alpha-ketoglutarate', 'rate of alpha-ketoglutarate utiliz']",2.4610853370034533,25.3618872995912,22.900801962587746
1239,['YGR214W'],"['>YGR214W RPS0A SGDID:S000003446, Chr VII from 920575-920664,921120-921788, Genome Release 64-2-1, Verified ORF, Ribosomal 40S subunit protein S0A', 'required for maturation of 18S rRNA along with Rps0Bp', 'deletion of either RPS0 gene reduces growth rate, del']",2.4551350322109364,23.15977157858127,20.704636546370335
2370,"['YNL134C', 'YCR102C', 'YLR460C']","['>YNL134C YNL134C SGDID:S000005078, Chr XIV from 373581-372451, Genome Release 64-2-1, reverse complement, Verified ORF, Protein of unknown function', 'similar to dehydrogenases from other model organisms', 'green fluorescent protein (GFP)-fusion protein local']",2.3572382370444416,22.380337399489232,20.02309916244479
1898,['YLR075W'],"['>YLR075W RPL10 SGDID:S000004065, Chr XII from 282927-283592, Genome Release 64-2-1, Verified ORF, Ribosomal 60S subunit protein L10', 'responsible for joining the 40S and 60S subunits', 'regulates translation initiation', 'similar to members of the QM gene fami']",2.271814801834889,24.04193181268459,21.770117010849702
2820,['YPL131W'],"['>YPL131W RPL5 SGDID:S000006052, Chr XVI from 303121-304014, Genome Release 64-2-1, Verified ORF, Ribosomal 60S subunit protein L5', 'homologous to mammalian ribosomal protein L5 and bacterial L18', 'binds 5S rRNA and is required for 60S subunit assembly']",2.228287540207223,28.253226133528326,26.024938593321103
1304,"['YHR010W', 'YDR471W']","['>YHR010W RPL27A SGDID:S000001052, Chr VIII from 126521-126551,127113-127492, Genome Release 64-2-1, Verified ORF, Ribosomal 60S subunit protein L27A', 'homologous to mammalian ribosomal protein L27, no bacterial homolog', 'RPL27A has a paralog, RPL27B, that a']",2.224306378822284,23.405744994968956,21.18143861614667
884,['YER036C'],"['>YER036C ARB1 SGDID:S000000838, Chr V from 225199-223367, Genome Release 64-2-1, reverse complement, Verified ORF, ATPase of the ATP-binding cassette (ABC) family', 'involved in 40S and 60S ribosome biogenesis, has similarity to Gcn20p', 'shuttles from nucleu']",2.106538162234852,21.744641704450512,19.63810354221566
