,Protein IDs,Fasta headers,diff,Intensity Pynd_AlkKO_WCLP,Intensity Control_WCLP
769,"['YEL054C', 'YDR418W']","['>YEL054C RPL12A SGDID:S000000780, Chr V from 53218-52721, Genome Release 64-2-1, reverse complement, Verified ORF, Ribosomal 60S subunit protein L12A', 'rpl12a rpl12b double mutant exhibits slow growth and slow translation', 'homologous to mammalian ribosomal']",-4.8077666413472,20.165701964936655,24.973468606283856
1090,['YGL137W'],"['>YGL137W SEC27 SGDID:S000003105, Chr VII from 249869-249886,250087-252738, Genome Release 64-2-1, Verified ORF, Essential beta-coat protein of the COPI coatomer', 'involved in ER-to-Golgi and Golgi-to-ER transport', 'contains WD40 domains that mediate cargo']",-4.644644084078109,20.860450496413517,25.505094580491626
1083,['YGL123W'],"['>YGL123W RPS2 SGDID:S000003091, Chr VII from 277617-278381, Genome Release 64-2-1, Verified ORF, Protein component of the small (40S) subunit', 'essential for control of translational accuracy', 'phosphorylation by C-terminal domain kinase I (CTDK-I) enhances']",-4.580241034770484,20.256148783884235,24.83638981865472
1568,['YJL130C'],"['>YJL130C URA2 SGDID:S000003666, Chr X from 172367-165723, Genome Release 64-2-1, reverse complement, Verified ORF, Bifunctional carbamoylphosphate synthetase/aspartate transcarbamylase', 'catalyzes the first two enzymatic steps in the de novo biosynthesis o']",-4.431455805739958,20.54236310741201,24.97381891315197
132,['YAL003W'],"['>YAL003W EFB1 SGDID:S000000003, Chr I from 142174-142253,142620-143160, Genome Release 64-2-1, Verified ORF, Translation elongation factor 1 beta', 'stimulates nucleotide exchange to regenerate EF-1 alpha-GTP for the next elongation cycle', 'part of the EF-1']",-4.38939230549655,22.62794081760594,27.01733312310249
1255,['YGR250C'],"['>YGR250C YGR250C SGDID:S000003482, Chr VII from 993521-991176, Genome Release 64-2-1, reverse complement, Verified ORF, Putative RNA binding protein', 'localizes to stress granules induced by glucose deprivation', 'interacts with Rbg1p in a two-hybrid assay', '']",-4.364408756605506,16.950601458955674,21.31501021556118
2755,['YOR369C'],"['>YOR369C RPS12 SGDID:S000005896, Chr XV from 1028625-1028194, Genome Release 64-2-1, reverse complement, Verified ORF, Protein component of the small (40S) ribosomal subunit', 'homologous to mammalian ribosomal protein S12, no bacterial homolog']",-4.36308490700295,20.746242031892354,25.109326938895304
2071,['YLR448W'],"['>YLR448W RPL6B SGDID:S000004440, Chr XII from 1028854-1028868,1029253-1029768, Genome Release 64-2-1, Verified ORF, Ribosomal 60S subunit protein L6B', 'binds 5.8S rRNA', 'homologous to mammalian ribosomal protein L6, no bacterial homolog', 'RPL6B has a paralog']",-4.3506263650619275,18.68968409434187,23.0403104594038
2320,['YNL055C'],"['>YNL055C POR1 SGDID:S000005000, Chr XIV from 518845-517994, Genome Release 64-2-1, reverse complement, Verified ORF, Mitochondrial porin (voltage-dependent anion channel)', 'outer membrane protein required for maintenance of mitochondrial osmotic stability']",-4.2656606630473135,18.251879940231216,22.51754060327853
2871,['YPL240C'],"['>YPL240C HSP82 SGDID:S000006161, Chr XVI from 98625-96496, Genome Release 64-2-1, reverse complement, Verified ORF, Hsp90 chaperone', 'redundant in function with Hsc82p', 'required for pheromone signaling, negative regulation of Hsf1p', 'docks with Tom70p for m']",-4.211729805821143,19.28908679337021,23.500816599191353
1649,"['YPR043W', 'YJR094W-A']","['>YPR043W RPL43A SGDID:S000006247, Chr XVI from 654166-654167,654571-654847, Genome Release 64-2-1, Verified ORF, Ribosomal 60S subunit protein L43A', 'null mutation confers a dominant lethal phenotype', 'homologous to mammalian ribosomal protein L37A, no bact']",-4.190422034002388,20.42265202304243,24.61307405704482
1911,['YLR109W'],"['>YLR109W AHP1 SGDID:S000004099, Chr XII from 368781-369311, Genome Release 64-2-1, Verified ORF, Thiol-specific peroxiredoxin', 'reduces hydroperoxides to protect against oxidative damage', 'function in vivo requires covalent conjugation to Urm1p']",-4.119855657930511,23.37212217775578,27.491977835686292
1572,"['YKR059W', 'YJL138C']","['>YKR059W TIF1 SGDID:S000001767, Chr XI from 554987-556174, Genome Release 64-2-1, Verified ORF, Translation initiation factor eIF4A', 'DEA(D/H)-box RNA helicase that couples ATPase activity to RNA binding and unwinding', 'forms a dumbbell structure of two com']",-4.113651367939088,22.577339387081416,26.690990755020504
560,['YDL223C'],"['>YDL223C HBT1 SGDID:S000002382, Chr IV from 60405-57265, Genome Release 64-2-1, reverse complement, Verified ORF, Shmoo tip protein, substrate of Hub1p ubiquitin-like protein', 'mutants are defective for mating projection formation, thereby implicating Hbt1']",-4.091394831061553,20.86325162638398,24.954646457445534
2724,['YOR293W'],"['>YOR293W RPS10A SGDID:S000005819, Chr XV from 867098-867149,867587-867852, Genome Release 64-2-1, Verified ORF, Protein component of the small (40S) ribosomal subunit', 'homologous to mammalian ribosomal protein S10, no bacterial homolog', 'RPS10A has a paral']",-4.0363190659381445,18.855075288439124,22.89139435437727
516,"['YDL191W', 'YDL136W']","['>YDL191W RPL35A SGDID:S000002350, Chr IV from 117664-117666,118158-118517, Genome Release 64-2-1, Verified ORF, Ribosomal 60S subunit protein L35A', 'homologous to mammalian ribosomal protein L35 and bacterial L29', 'RPL35A has a paralog, RPL35B, that arose f']",-4.010024898581843,20.2172666952823,24.227291593864145
466,['YDL055C'],"['>YDL055C PSA1 SGDID:S000002213, Chr IV from 356759-355674, Genome Release 64-2-1, reverse complement, Verified ORF, GDP-mannose pyrophosphorylase (mannose-1-phosphate guanyltransferase)', 'synthesizes GDP-mannose from GTP and mannose-1-phosphate in cell wal']",-3.9530000068400675,20.12098200035785,24.073982007197916
1206,['YGR162W'],"['>YGR162W TIF4631 SGDID:S000003394, Chr VII from 824059-826917, Genome Release 64-2-1, Verified ORF, Translation initiation factor eIF4G', 'subunit of the mRNA cap-binding protein complex (eIF4F) that also contains eIF4E (Cdc33p)', 'interacts with Pab1p and wi']",-3.877797491933954,19.30750323669052,23.185300728624473
2823,['YPL143W'],"['>YPL143W RPL33A SGDID:S000006064, Chr XVI from 282122-282140,282666-282970, Genome Release 64-2-1, Verified ORF, Ribosomal 60S subunit protein L33A', 'N-terminally acetylated', 'rpl33a null mutant exhibits slow growth while rpl33a rpl33b double null mutant is']",-3.866214599803712,18.208910653651596,22.075125253455308
1103,['YGL178W'],"['>YGL178W MPT5 SGDID:S000003146, Chr VII from 167352-167354,167995-170571, Genome Release 64-2-1, Verified ORF, mRNA-binding protein of the PUF family', 'binds to the 3 UTR of specific mRNAs, including those involved in mating type switching, cell wall inte']",-3.861968003897463,20.167295629162233,24.029263633059696
2013,['YLR340W'],"['>YLR340W RPP0 SGDID:S000004332, Chr XII from 805887-806825, Genome Release 64-2-1, Verified ORF, Conserved ribosomal protein P0 of the ribosomal stalk', 'involved in interaction between translational elongation factors and the ribosome', 'phosphorylated on se']",-3.852109822153338,21.792769645377213,25.64487946753055
1675,['YKL006W'],"['>YKL006W RPL14A SGDID:S000001489, Chr XI from 431906-432034,432433-432720, Genome Release 64-2-1, Verified ORF, Ribosomal 60S subunit protein L14A', 'N-terminally acetylated', 'homologous to mammalian ribosomal protein L14, no bacterial homolog', 'RPL14A has a']",-3.835610594733069,19.13776166224819,22.97337225698126
255,"['YDR025W', 'YBR048W']","['>YDR025W RPS11A SGDID:S000002432, Chr IV from 491515-491559,491899-492324, Genome Release 64-2-1, Verified ORF, Protein component of the small (40S) ribosomal subunit', 'homologous to mammalian ribosomal protein S11 and bacterial S17', 'N-terminally propionyl']",-3.8289158150101947,19.818875469695996,23.64779128470619
2761,"['YOR375C', 'YAL062W']","['>YOR375C GDH1 SGDID:S000005902, Chr XV from 1043042-1041678, Genome Release 64-2-1, reverse complement, Verified ORF, NADP(+)-dependent glutamate dehydrogenase', 'synthesizes glutamate from ammonia and alpha-ketoglutarate', 'rate of alpha-ketoglutarate utiliz']",-3.8068640228375763,20.445261429656373,24.25212545249395
2083,['YML008C'],"['>YML008C ERG6 SGDID:S000004467, Chr XIII from 252990-251839, Genome Release 64-2-1, reverse complement, Verified ORF, Delta(24)-sterol C-methyltransferase', 'converts zymosterol to fecosterol in the ergosterol biosynthetic pathway by methylating position C-']",-3.7917112525812513,17.885481897577424,21.677193150158676
994,['YFL045C'],"['>YFL045C SEC53 SGDID:S000001849, Chr VI from 44392-43628, Genome Release 64-2-1, reverse complement, Verified ORF, Phosphomannomutase', 'involved in synthesis of GDP-mannose and dolichol-phosphate-mannose', 'required for folding and glycosylation of secretory']",-3.7853074947847816,17.87387662548036,21.65918412026514
1296,['YHL034C'],"['>YHL034C SBP1 SGDID:S000001026, Chr VIII from 34077-33193, Genome Release 64-2-1, reverse complement, Verified ORF, Protein that binds eIF4G and has a role in repression of translation', 'has an RGG motif', 'found in cytoplasmic P bodies', 'binds to mRNAs under']",-3.7636517844155293,19.866801994273732,23.63045377868926
894,"['YIL052C', 'YER056C-A']","['>YIL052C RPL34B SGDID:S000001314, Chr IX from 256554-256226,257063-257027, Genome Release 64-2-1, reverse complement, Verified ORF, Ribosomal 60S subunit protein L34B', 'homologous to mammalian ribosomal protein L34, no bacterial homolog', 'RPL34B has a paral']",-3.6878936742610477,20.54745564324023,24.235349317501278
1732,['YKL121W'],"['>YKL121W DGR2 SGDID:S000001604, Chr XI from 214142-216700, Genome Release 64-2-1, Uncharacterized ORF, Protein of unknown function', 'null mutant is resistant to 2-deoxy-D-glucose and displays abnormally elongated buds', 'DGR2 has a paralog, YMR102C, that aro']",-3.659852427293675,19.24260659934648,22.902459026640155
2329,['YNL069C'],"['>YNL069C RPL16B SGDID:S000005013, Chr XIV from 494524-493956,495001-494974, Genome Release 64-2-1, reverse complement, Verified ORF, Ribosomal 60S subunit protein L16B', 'N-terminally acetylated, binds 5.8 S rRNA', 'transcriptionally regulated by Rap1p', 'homol']",-3.6185515638162435,19.696237438873588,23.31478900268983
2677,"['YOR204W', 'YPL119C']","['>YOR204W DED1 SGDID:S000005730, Chr XV from 722911-724725, Genome Release 64-2-1, Verified ORF, ATP-dependent DEAD (Asp-Glu-Ala-Asp)-box RNA helicase', 'required for translation initiation of all yeast mRNAs', 'binds to mRNA cap-associated factors, and bindin']",-3.604990247767251,18.338431727300716,21.943421975067967
1700,['YKL056C'],"['>YKL056C TMA19 SGDID:S000001539, Chr XI from 334915-334412, Genome Release 64-2-1, reverse complement, Verified ORF, Protein that associates with ribosomes', 'homolog of translationally controlled tumor protein', 'green fluorescent protein (GFP)-fusion protei']",-3.583941602369535,20.790902078720443,24.374843681089978
2408,['YNL209W'],"['>YNL209W SSB2 SGDID:S000005153, Chr XIV from 252059-253900, Genome Release 64-2-1, Verified ORF, Cytoplasmic ATPase that is a ribosome-associated molecular chaperone', 'functions with J-protein partner Zuo1p', 'may be involved in the folding of newly-synthesi']",-3.5477203844792093,24.009922220935273,27.557642605414483
249,['YBR031W'],"['>YBR031W RPL4A SGDID:S000000235, Chr II from 300166-301254, Genome Release 64-2-1, Verified ORF, Ribosomal 60S subunit protein L4A', 'N-terminally acetylated', 'homologous to mammalian ribosomal protein L4 and bacterial L4', 'RPL4A has a paralog, RPL4B, that ar']",-3.5442162063933154,22.636551165661327,26.180767372054643
1596,['YJL191W'],"['>YJL191W RPS14B SGDID:S000003727, Chr X from 73787-73796,74205-74611, Genome Release 64-2-1, Verified ORF, Protein component of the small (40S) ribosomal subunit', 'required for ribosome assembly and 20S pre-rRNA processing', 'mutations confer cryptopleurine']",-3.537726026679355,23.534927861207148,27.072653887886503
2228,['YMR186W'],"['>YMR186W HSC82 SGDID:S000004798, Chr XIII from 632355-634472, Genome Release 64-2-1, Verified ORF, Cytoplasmic chaperone of the Hsp90 family', 'plays a role in determining prion variants', 'redundant in function and nearly identical with Hsp82p, and together']",-3.5306028305904,24.071692793233247,27.602295623823647
2787,['YPL061W'],"['>YPL061W ALD6 SGDID:S000005982, Chr XVI from 432588-434090, Genome Release 64-2-1, Verified ORF, Cytosolic aldehyde dehydrogenase', 'activated by Mg2+ and utilizes NADP+ as the preferred coenzyme', 'required for conversion of acetaldehyde to acetate', 'constitu']",-3.5001247424634983,23.186464905714292,26.68658964817779
2876,['YPL249C-A'],"['>YPL249C-A RPL36B SGDID:S000006438, Chr XVI from 75985-75699,76239-76224, Genome Release 64-2-1, reverse complement, Verified ORF, Ribosomal 60S subunit protein L36B', 'binds to 5.8 S rRNA', 'homologous to mammalian ribosomal protein L36, no bacterial homolog']",-3.50009411705134,20.116293189826056,23.616387306877396
1033,"['YGL008C', 'YPL036W']","['>YGL008C PMA1 SGDID:S000002976, Chr VII from 482666-479910, Genome Release 64-2-1, reverse complement, Verified ORF, Plasma membrane P2-type H+-ATPase', 'pumps protons out of cell', 'major regulator of cytoplasmic pH and plasma membrane potential', 'long-lived']",-3.4917534248355686,25.202097511704892,28.69385093654046
780,"['YML024W', 'YDR447C']","['>YML024W RPS17A SGDID:S000004486, Chr XIII from 225889-225891,226290-226697, Genome Release 64-2-1, Verified ORF, Ribosomal protein 51 (rp51) of the small (40s) subunit', 'homologous to mammalian ribosomal protein S17, no bacterial homolog', 'RPS17A has a par']",-3.4625360276309785,21.103800038149657,24.566336065780636
1601,['YJR001W'],"['>YJR001W AVT1 SGDID:S000003761, Chr X from 436802-438610, Genome Release 64-2-1, Verified ORF, Vacuolar transporter', 'imports large neutral amino acids into the vacuole', 'member of a family of seven S. cerevisiae genes (AVT1-7) related to vesicular GABA-gly']",-3.456486461168275,17.65815568437075,21.114642145539026
2555,['YOL127W'],"['>YOL127W RPL25 SGDID:S000005487, Chr XV from 80348-80360,80775-81190, Genome Release 64-2-1, Verified ORF, Ribosomal 60S subunit protein L25', 'primary rRNA-binding ribosomal protein component of large ribosomal subunit', 'binds to 25S rRNA via a conserved C-']",-3.428236997033707,20.0074434362993,23.435680433333008
1582,['YJL165C'],"['>YJL165C HAL5 SGDID:S000003701, Chr X from 109461-106894, Genome Release 64-2-1, reverse complement, Verified ORF, Putative protein kinase', 'overexpression increases sodium and lithium tolerance, whereas gene disruption increases cation and low pH sensitiv']",-3.4186959496020535,19.01017840402054,22.428874353622593
1239,['YGR214W'],"['>YGR214W RPS0A SGDID:S000003446, Chr VII from 920575-920664,921120-921788, Genome Release 64-2-1, Verified ORF, Ribosomal 40S subunit protein S0A', 'required for maturation of 18S rRNA along with Rps0Bp', 'deletion of either RPS0 gene reduces growth rate, del']",-3.302865742282897,21.244001406133393,24.54686714841629
800,['YDR485C'],"['>YDR485C VPS72 SGDID:S000002893, Chr IV from 1427207-1424820, Genome Release 64-2-1, reverse complement, Verified ORF, Htz1p-binding component of the SWR1 complex', 'exchanges histone variant H2AZ (Htz1p) for chromatin-bound histone H2A', 'may function as a l']",-3.252585697906458,17.763251276721245,21.015836974627703
1258,['YGR254W'],"['>YGR254W ENO1 SGDID:S000003486, Chr VII from 1000927-1002240, Genome Release 64-2-1, Verified ORF, Enolase I, a phosphopyruvate hydratase', 'catalyzes conversion of 2-phosphoglycerate to phosphoenolpyruvate during glycolysis and the reverse reaction during']",-3.1984251874270413,20.93869229307017,24.13711748049721
1223,['YGR192C'],"['>YGR192C TDH3 SGDID:S000003424, Chr VII from 883810-882812, Genome Release 64-2-1, reverse complement, Verified ORF, Glyceraldehyde-3-phosphate dehydrogenase (GAPDH), isozyme 3', 'involved in glycolysis and gluconeogenesis', 'tetramer that catalyzes the react']",-3.195412200206203,27.702661821023714,30.898074021229917
1898,['YLR075W'],"['>YLR075W RPL10 SGDID:S000004065, Chr XII from 282927-283592, Genome Release 64-2-1, Verified ORF, Ribosomal 60S subunit protein L10', 'responsible for joining the 40S and 60S subunits', 'regulates translation initiation', 'similar to members of the QM gene fami']",-3.1825307327973036,21.07103806436297,24.253568797160273
2550,['YOL109W'],"['>YOL109W ZEO1 SGDID:S000005469, Chr XV from 110297-110638, Genome Release 64-2-1, Verified ORF, Peripheral membrane protein of the plasma membrane', 'interacts with Mid2p', 'regulates the cell integrity pathway mediated by Pkc1p and Slt2p', 'the authentic prote']",-3.1801741123267036,20.71966956723618,23.899843679562885
1937,['YLR180W'],"['>YLR180W SAM1 SGDID:S000004170, Chr XII from 515262-516410, Genome Release 64-2-1, Verified ORF, S-adenosylmethionine synthetase', 'catalyzes transfer of the adenosyl group of ATP to the sulfur atom of methionine', 'SAM1 has a paralog, SAM2, that arose from t']",-3.1800655403355123,19.974493014498016,23.154558554833528
1200,['YGR155W'],"['>YGR155W CYS4 SGDID:S000003387, Chr VII from 798543-800066, Genome Release 64-2-1, Verified ORF, Cystathionine beta-synthase', 'catalyzes synthesis of cystathionine from serine and homocysteine, the first committed step in cysteine biosynthesis', 'responsible']",-3.1516095202426477,19.238787232701974,22.39039675294462
1093,['YGL147C'],"['>YGL147C RPL9A SGDID:S000003115, Chr VII from 228329-227754, Genome Release 64-2-1, reverse complement, Verified ORF, Ribosomal 60S subunit protein L9A', 'homologous to mammalian ribosomal protein L9 and bacterial L6', 'RPL9A has a paralog, RPL9B, that arose']",-3.1392229029018885,21.859123740761305,24.998346643663194
2023,['YLR355C'],"['>YLR355C ILV5 SGDID:S000004347, Chr XII from 839253-838066, Genome Release 64-2-1, reverse complement, Verified ORF, Acetohydroxyacid reductoisomerase and mtDNA binding protein', 'involved in branched-chain amino acid biosynthesis and maintenance of wild-ty']",-3.1136743200723913,21.01481598307211,24.128490303144503
1530,['YJL056C'],"['>YJL056C ZAP1 SGDID:S000003592, Chr X from 333073-330431, Genome Release 64-2-1, reverse complement, Verified ORF, Zinc-regulated transcription factor', 'binds to zinc-responsive promoters to induce transcription of certain genes in presence of zinc, repres']",-3.1107894487868712,17.84076563231586,20.951555081102732
329,['YBR198C'],"['>YBR198C TAF5 SGDID:S000000402, Chr II from 618523-616127, Genome Release 64-2-1, reverse complement, Verified ORF, Subunit (90 kDa) of TFIID and SAGA complexes', 'involved in RNA polymerase II transcription initiation and in chromatin modification']",-3.1060289412474873,21.82423159290288,24.930260534150367
296,"['YPR080W', 'YBR118W']","['>YPR080W TEF1 SGDID:S000006284, Chr XVI from 700594-701970, Genome Release 64-2-1, Verified ORF, Translational elongation factor EF-1 alpha', 'also encoded by TEF2', 'functions in the binding reaction of aminoacyl-tRNA (AA-tRNA) to ribosomes', 'may also have a']",-3.103672982236297,25.561012622817397,28.664685605053695
151,"['YAL038W', 'YOR347C']","['>YAL038W CDC19 SGDID:S000000036, Chr I from 71786-73288, Genome Release 64-2-1, Verified ORF, Pyruvate kinase', 'functions as a homotetramer in glycolysis to convert phosphoenolpyruvate to pyruvate, the input for aerobic (TCA cycle) or anaerobic (glucose fe']",-3.1019036863362857,26.32573969431642,29.427643380652707
1217,['YGR180C'],"['>YGR180C RNR4 SGDID:S000003412, Chr VII from 856301-855264, Genome Release 64-2-1, reverse complement, Verified ORF, Ribonucleotide-diphosphate reductase (RNR) small subunit', 'the RNR complex catalyzes the rate-limiting step in dNTP synthesis and is regula']",-3.0954127470330803,21.391419820029842,24.486832567062923
2007,['YLR325C'],"['>YLR325C RPL38 SGDID:S000004317, Chr XII from 781379-781143, Genome Release 64-2-1, reverse complement, Verified ORF, Ribosomal 60S subunit protein L38', 'homologous to mammalian ribosomal protein L38, no bacterial homolog']",-3.0894982709273435,20.10674183498797,23.196240105915315
1927,['YLR150W'],"['>YLR150W STM1 SGDID:S000004140, Chr XII from 440467-441288, Genome Release 64-2-1, Verified ORF, Protein required for optimal translation under nutrient stress', 'perturbs association of Yef3p with ribosomes', 'involved in TOR signaling', 'binds G4 quadruplex a']",-3.070697013453053,22.00099577978019,25.071692793233243
600,['YDR064W'],"['>YDR064W RPS13 SGDID:S000002471, Chr IV from 579458-579478,580018-580452, Genome Release 64-2-1, Verified ORF, Protein component of the small (40S) ribosomal subunit', 'homologous to mammalian ribosomal protein S13 and bacterial S15']",-3.0700311313682604,20.927884998418417,23.997916129786677
511,['YDL130W'],"['>YDL130W RPP1B SGDID:S000002288, Chr IV from 229906-230019,230321-230527, Genome Release 64-2-1, Verified ORF, Ribosomal protein P1 beta', 'component of the ribosomal stalk, which is involved in interaction of translational elongation factors with ribosome', '']",-3.029300137150411,20.350244282267067,23.379544419417478
755,"['YOR133W', 'YDR385W']","['>YOR133W EFT1 SGDID:S000005659, Chr XV from 575098-577626, Genome Release 64-2-1, Verified ORF, Elongation factor 2 (EF-2), also encoded by EFT2', 'catalyzes ribosomal translocation during protein synthesis', 'contains diphthamide, the unique posttranslationa']",-3.017317312227874,24.408986861959097,27.42630417418697
905,"['YIL069C', 'YER074W']","['>YIL069C RPS24B SGDID:S000001331, Chr IX from 231957-231553,232369-232367, Genome Release 64-2-1, reverse complement, Verified ORF, Protein component of the small (40S) ribosomal subunit', 'homologous to mammalian ribosomal protein S24, no bacterial homolog']",-2.9852556981306755,21.89304373133381,24.878299429464487
323,"['YPL090C', 'YBR181C']","['>YPL090C RPS6A SGDID:S000006011, Chr XVI from 377995-377291,378395-378390, Genome Release 64-2-1, reverse complement, Verified ORF, Protein component of the small (40S) ribosomal subunit', 'homologous to mammalian ribosomal protein S6, no bacterial homolog', '']",-2.9845410377889436,22.53114821459517,25.515689252384114
1653,['YJR105W'],"['>YJR105W ADO1 SGDID:S000003866, Chr X from 623581-624603, Genome Release 64-2-1, Verified ORF, Adenosine kinase', 'required for the utilization of S-adenosylmethionine (AdoMet)', 'may be involved in recycling adenosine produced through the methyl cycle']",-2.9634590364833215,18.38894222464243,21.352401261125753
591,['YDR050C'],"['>YDR050C TPI1 SGDID:S000002457, Chr IV from 556472-555726, Genome Release 64-2-1, reverse complement, Verified ORF, Triose phosphate isomerase, abundant glycolytic enzyme', 'mRNA half-life is regulated by iron availability', 'transcription is controlled by ac']",-2.9513288676333396,23.2295522965897,26.180881164223038
2635,['YOR123C'],"['>YOR123C LEO1 SGDID:S000005649, Chr XV from 554570-553176, Genome Release 64-2-1, reverse complement, Verified ORF, Component of the Paf1 complex', 'which associates with RNA polymerase II and is involved in histone methylation', 'plays a role in regulating T']",-2.936510174429756,19.617356257091775,22.55386643152153
358,['YBR263W'],"['>YBR263W SHM1 SGDID:S000000467, Chr II from 736264-737736, Genome Release 64-2-1, Verified ORF, Mitochondrial serine hydroxymethyltransferase', 'converts serine to glycine plus 5,10 methylenetetrahydrofolate', 'involved in generating precursors for purine, py']",-2.9015696552274086,21.74061251647944,24.64218217170685
1747,['YKL152C'],"['>YKL152C GPM1 SGDID:S000001635, Chr XI from 164385-163642, Genome Release 64-2-1, reverse complement, Verified ORF, Tetrameric phosphoglycerate mutase', 'mediates the conversion of 3-phosphoglycerate to 2-phosphoglycerate during glycolysis and the reverse r']",-2.8882288898484383,23.67055252402469,26.558781413873128
